2025-03-26 18:19:28 [INFO]: Request: GET /users/67b73ccff9abd4290f863a3d/profile | Response: 304 | Duration: 49ms
2025-03-26 18:19:28 [INFO]: Request: GET /users/67b73ccff9abd4290f863a3d/notifications/count | Response: 304 | Duration: 93ms
2025-03-27 00:16:08 [WARN]: Request: GET /users/67b73ccff9abd4290f863a3d/bookings?page=1 | Response: 401 | Duration: 1ms
2025-03-27 00:16:08 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 7ms
2025-03-27 00:16:09 [INFO]: Request: GET /users/67b73ccff9abd4290f863a3d/bookings?page=1 | Response: 304 | Duration: 528ms
2025-03-27 00:16:10 [INFO]: Request: GET /users/67b73ccff9abd4290f863a3d/profile | Response: 304 | Duration: 43ms
2025-03-27 00:26:45 [WARN]: Request: GET /users/67b73ccff9abd4290f863a3d/notifications?page=1 | Response: 401 | Duration: 2ms
2025-03-27 00:26:45 [INFO]: Request: POST /users/refresh-token | Response: 200 | Duration: 4ms
2025-03-27 00:26:45 [INFO]: Request: GET /users/67b73ccff9abd4290f863a3d/notifications?page=1 | Response: 304 | Duration: 122ms
2025-03-27 00:26:45 [INFO]: Request: GET /users/sign-out | Response: 304 | Duration: 0ms
2025-03-27 01:46:47 [INFO]: Request: PATCH /users/o-auth?code=4/0AQSTgQHJ0j74Tsr3SmjrEO9xOYT9G88RCjo2kcbfSYQYTOK9OEe6QY-LyFUT3GQwXGx7DA | Response: 200 | Duration: 503ms
2025-03-27 01:46:47 [INFO]: Request: GET /users/67b754b3f9abd4290f863aa6/profile | Response: 304 | Duration: 38ms
